x,y
0,23.715417317317893
3,64.34371339417595
9,33.16472676364918
14,32.33887484943427
15,38.26463322613693
19,74.85225208049339
20,38.11467185726246
21,42.69332650931438
30,44.497633391840374
35,51.11646365819977
40,48.95601117272597
41,50.828504393538
42,49.26504857969273
43,44.35491153739149
54,56.97667486238709
56,59.992522133086595
67,60.87556920408476
69,62.688373802848645
72,44.839048216852284
88,74.23551907685479
0,34.78781471454187
3,71.94731944030701
9,33.8852367309957
14,39.50276170238871
15,39.17021732409333
19,68.93396268720545
20,34.59343087518431
21,44.432173287841565
30,44.99500049727802
35,45.30117132328436
40,53.525991576821916
41,47.29791515041053
42,46.360066663115006
43,47.89312735712596
54,56.24710485695289
56,59.46483153443128
67,59.71634047519842
69,66.16217809623606
72,44.68485470257365
88,70.21800860731857
0,41.871558960655314
3,68.7559437740208
9,36.943213347561056
14,32.092664589352026
15,31.820824400609563
19,67.99132524055483
20,36.41037847652415
21,42.957122759568016
30,51.07368821934242
35,48.54384373603479
40,54.01523153037051
41,48.86985276310791
42,48.30913810234065
43,48.117787641705895
54,61.82777499722049
56,58.003333661484284
67,63.607767531902475
69,59.203773168984604
72,43.08074711546112
88,71.01254122084104
0,34.174950323017164
3,73.78420164909788
9,33.869785132192206
14,31.13170693777785
15,39.470159497592924
19,69.61615472612013
20,37.525099456050036
21,43.75593287697072
30,43.530049242040306
35,50.9315369052571
40,54.28340961500686
41,51.59449335126409
42,57.02180477359489
43,44.295178302263224
54,57.756125310557984
56,61.06416699126648
67,59.575121224453405
69,64.46929307486418
72,44.99929391022393
88,66.73460659507981
0,33.88640194059516
3,64.419861206582
9,32.30517310018047
14,27.96586762835859
15,35.20122848309058
19,70.22643144840079
20,38.20968510805206
21,44.00188984600933
30,44.45273725316074
35,52.276162616160214
40,52.7391094281898
41,50.36743765320304
42,53.76715086199283
43,52.41007472180401
54,62.66817176384105
56,59.81217922745366
67,62.057823116718424
69,59.01006396397791
72,46.123200340070525
88,66.85289394399881
